| Year    | GDP (in ₹ crore) | GVA (in ₹ crore) |
| ------- | ---------------: | ---------------: |
| 2013–14 |        23,47,396 |        22,06,230 |
| 2014–15 |        25,35,751 |        23,77,154 |
| 2015–16 |        27,28,279 |        25,60,191 |
| 2016–17 |        29,65,088 |        27,98,726 |
| 2017–18 |        31,46,336 |        29,38,107 |
| 2018–19 |        33,82,301 |        31,47,143 |
| 2019–20 |        35,48,958 |        32,87,872 |
| 2020–21 |        27,03,598 |        25,83,801 |
| 2021–22 |        32,46,434 |        30,52,664 |
| 2022–23 |        36,85,125 |        34,41,826 |
